"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"Canada",2021,"Tuberculosis","Genetic",14.25,12.62,1.32,"Senior","Female",508026,68.76,3.75,4.27,"Therapy",38168,"No",70.52,2896,9.71,71010,0.8,26.18
"France",2021,"Hepatitis","Chronic",13.04,8.2,8.27,"Senior","Other",518815,84.27,1.07,7.54,"Therapy",31244,"No",81.08,1580,3.1,80670,0.53,27.36
"Brazil",2022,"Rabies","Parasitic",12.63,10.24,5.36,"Senior","Female",404023,55.65,1.43,4.49,"Vaccination",34918,"No",79.47,2669,6.11,65668,0.47,55.58
"South Korea",2024,"Alzheimer's Disease","Metabolic",7.09,10.34,0.66,"Young Adult","Male",295530,90.07,3.08,8.31,"Therapy",479,"No",84.04,1375,5.01,1221,0.71,47.29
"Brazil",2021,"Alzheimer's Disease","Genetic",9.97,1.19,6.29,"Young Adult","Male",102608,65.61,1.31,7.3,"Medication",37316,"Yes",97.29,3582,7.24,49802,0.54,85.21
"India",2022,"Measles","Chronic",18.96,0.16,7.27,"Senior","Other",388420,88.61,1.02,0.85,"Therapy",22814,"Yes",51.91,2628,3.51,67040,0.86,64.87
"Germany",2022,"Dengue","Cardiovascular",10.8,7.09,3.67,"Young Adult","Female",177338,93.31,4.07,5.66,"Vaccination",17739,"Yes",60.57,2422,9.45,67082,0.85,66.78
"Italy",2024,"Cholera","Neurological",15.04,5.75,8.98,"Senior","Male",87137,53.7,4.41,5.03,"Surgery",39962,"No",64.8,688,4.1,22876,0.45,51.96
"Indonesia",2023,"Hepatitis","Respiratory",18.97,9.22,9.83,"Child","Other",601528,76.33,3.73,4.61,"Surgery",38574,"No",73.67,2832,2.73,98700,0.5,47.19
"Turkey",2024,"HIV/AIDS","Infectious",15.05,1.49,7.61,"Senior","Male",170770,54.68,4.35,2.66,"Therapy",5749,"No",69.57,3572,8.86,16900,0.55,66.19
"Indonesia",2021,"Rabies","Chronic",0.9,12.87,0.2,"Young Adult","Male",319941,69.31,3.54,6.36,"Vaccination",16539,"Yes",61.58,1854,3.28,57339,0.5,47.19
"Nigeria",2024,"Polio","Cardiovascular",5.45,12.82,7.6,"Child","Other",283186,75.01,2.89,9.85,"Vaccination",45408,"Yes",94.15,3477,3.62,72465,0.55,67.56
"Mexico",2022,"HIV/AIDS","Metabolic",19.91,11.9,6.34,"Senior","Female",996474,52.65,3.99,9.56,"Vaccination",30014,"No",89.49,4701,6.15,23185,0.86,89.98
"Argentina",2022,"Asthma","Genetic",13.33,4.12,6.77,"Child","Female",701110,90.52,3.76,0.64,"Surgery",16945,"No",72.99,2591,3.45,84926,0.65,42.88
"South Africa",2023,"Tuberculosis","Parasitic",0.89,8.2,0.71,"Adult","Female",532185,57.85,3.09,7.68,"Vaccination",40187,"No",79.33,2507,2.34,18973,0.43,40.56
"Germany",2022,"Parkinson's Disease","Autoimmune",8.6,7.73,9.84,"Adult","Male",73827,85.24,3.46,4.91,"Therapy",25729,"No",79.88,4061,7.74,44441,0.42,85
"Russia",2023,"HIV/AIDS","Genetic",16.91,5.54,9.31,"Child","Female",338203,91.12,2.04,4.46,"Medication",13820,"No",91.97,218,3.63,71569,0.77,72.22
"Indonesia",2020,"Hepatitis","Parasitic",7.59,4.61,2.72,"Adult","Female",102668,67.85,1.07,7.79,"Vaccination",14966,"Yes",88.27,318,2.8,70390,0.66,33.35
"Australia",2022,"Influenza","Viral",6.42,4.11,2.26,"Child","Other",737374,63.85,3.92,8.96,"Surgery",344,"No",79.85,2858,9.61,80211,0.83,59.6
"Australia",2024,"Parkinson's Disease","Parasitic",19.38,7.98,4.67,"Senior","Other",22073,62.85,2.84,2.65,"Vaccination",40909,"No",65.89,2355,9.75,16293,0.72,53.13
"UK",2021,"Rabies","Genetic",17.26,0.85,3.55,"Adult","Female",320688,70.8,4.66,6.81,"Surgery",10579,"No",78.12,1870,7.62,47495,0.67,21.64
"Mexico",2021,"Hypertension","Bacterial",8.83,5.24,5.83,"Senior","Male",59996,85.11,4.83,0.91,"Therapy",48867,"No",86.92,470,5.88,37081,0.71,81.57
"Russia",2023,"Hypertension","Viral",3.37,3.21,5.68,"Young Adult","Female",485581,88.65,3.08,2.78,"Vaccination",40773,"No",65.7,1018,6.56,45183,0.87,50.72
"Turkey",2021,"Polio","Parasitic",14.85,3.33,0.67,"Adult","Other",648527,57.81,1.09,9.59,"Therapy",43467,"Yes",81.69,2103,3.46,32612,0.74,62.88
"Argentina",2022,"Polio","Viral",16.89,10.91,5.94,"Senior","Other",910559,53.13,2.17,9.53,"Surgery",6234,"Yes",79.52,1384,9.7,3374,0.47,65.2
"Turkey",2024,"Zika","Parasitic",12.41,9.01,4.81,"Senior","Female",824762,95.23,1.82,0.57,"Vaccination",17038,"Yes",77.96,1819,6.81,6574,0.43,44.75
"Russia",2020,"Influenza","Metabolic",11.7,6.04,0.68,"Adult","Other",343951,77.23,0.69,3.84,"Surgery",16359,"Yes",79.95,4096,5.49,18005,0.82,89.09
"China",2020,"Cancer","Chronic",14.97,1.76,3.67,"Young Adult","Other",8856,97.67,3.75,3.71,"Surgery",5706,"Yes",83.54,4258,3.01,90654,0.75,47.43
"Russia",2023,"Cholera","Parasitic",19.09,5.44,2.69,"Child","Other",313101,77.91,4.39,2.62,"Surgery",42076,"No",62.38,4704,6.62,80912,0.72,49.62
"Nigeria",2022,"Cancer","Bacterial",16.03,1.71,6.63,"Child","Male",604292,95.97,3.85,3.27,"Medication",251267.0368,"No",88.15,783,1.43,75141,0.43,35.8
"Japan",2021,"Polio","Bacterial",19.64,2.52,2.41,"Senior","Other",636455,54.69,1.64,6.58,"Surgery",24861,"Yes",79.95,2512,8.72,95512,0.65,84.32
"Turkey",2024,"Malaria","Parasitic",4.75,14.04,6.21,"Senior","Male",117112,58.61,1.32,4.89,"Vaccination",41455,"Yes",89.02,4860,3.43,42261,0.84,33.75
"Argentina",2023,"HIV/AIDS","Metabolic",5.21,0.43,3.48,"Senior","Male",167304,74.36,4.09,5.88,"Medication",42263,"Yes",76.3,492,7.02,628,0.44,37.39
"South Korea",2022,"COVID-19","Bacterial",3.42,9.58,9.92,"Senior","Other",583772,86.88,2.8,2.6,"Medication",34908,"No",88.95,1268,0.32,54851,0.59,79.08
"Brazil",2020,"Cancer","Autoimmune",9.33,1.6,4.87,"Child","Other",138750,77.33,1.06,1.57,"Vaccination",9960,"No",79.57,4146,5.97,3275,0.45,50.78
"China",2023,"Alzheimer's Disease","Genetic",3.46,2.17,7.99,"Adult","Male",838935,97.57,2.12,2.34,"Therapy",45517,"Yes",78.84,3424,2.63,84963,0.71,86.23
"Japan",2020,"Hepatitis","Autoimmune",15.52,1.73,4.52,"Young Adult","Male",602889,72.66,2.1,5.21,"Vaccination",45346,"No",77.43,2456,0.27,53652,0.7,40.73
"China",2021,"HIV/AIDS","Bacterial",11.04,4.04,6.28,"Adult","Female",508527,91.28,2.86,7.14,"Vaccination",27325,"Yes",56.09,3185,4.18,50866,0.67,60.39
"Germany",2020,"Tuberculosis","Bacterial",18.28,4.77,6.97,"Young Adult","Female",726236,80.92,3.68,5.18,"Therapy",30139,"Yes",88.84,1386,4.76,36138,0.77,46.9
"Germany",2022,"COVID-19","Cardiovascular",10.49,2.41,6.04,"Adult","Other",929837,66.61,0.82,8.36,"Surgery",31417,"Yes",59.15,1288,6.52,53045,0.63,56.61
"USA",2023,"Alzheimer's Disease","Autoimmune",9.99,3.36,1.8,"Senior","Male",444363,57.69,0.66,7.48,"Therapy",14518,"No",80.97,4521,9.37,10533,0.75,66.49
"Mexico",2023,"Zika","Parasitic",11.84,2.23,9.31,"Adult","Female",801135,79.69,3.48,7.23,"Vaccination",15711,"No",95.28,1291,6.91,54304,0.7,38.62
"Australia",2024,"Diabetes","Neurological",7.05,12.25,5.64,"Senior","Male",2277,52.5,3.45,4.14,"Surgery",49889,"No",74.72,3097,9.91,70954,0.59,85.51
"Brazil",2024,"Parkinson's Disease","Respiratory",12.69,5.34,2.31,"Child","Other",630940,59.08,1.39,1.35,"Surgery",5795,"Yes",73.32,3706,8.03,53693,0.46,32.98
"Saudi Arabia",2020,"Zika","Cardiovascular",9.48,5.45,2,"Child","Female",905162,72.28,4.26,5.66,"Therapy",48125,"Yes",57.49,3942,5.78,74994,0.7,36.8
"Nigeria",2020,"HIV/AIDS","Neurological",10.81,12.76,7.93,"Young Adult","Female",880965,55.93,1.06,1.42,"Therapy",38697,"No",65.44,4719,2.64,14411,0.51,42.62
"Italy",2020,"Leprosy","Autoimmune",15.38,1.3,8.61,"Young Adult","Other",213544,56.32,1.87,7.22,"Vaccination",45167,"Yes",57.43,4285,9.25,4797,0.62,28.46
"Turkey",2020,"HIV/AIDS","Genetic",14.41,9.01,1.48,"Child","Female",147278,68.03,3.31,7.55,"Surgery",25004,"No",69.53,1329,8.29,44488,0.45,84.81
"Canada",2022,"Malaria","Cardiovascular",17.76,1.05,3.63,"Adult","Female",231508,65.72,2.87,5.19480769230769,"Vaccination",11930,"Yes",58.32,3636,3.99,15034,0.57,86.32
"Australia",2024,"Cancer","Neurological",9.81,10.92,8.59,"Child","Male",604075,76.73,0.79,2.64,"Vaccination",23148,"No",70.8,1179,3.61,72194,0.71,59.37
"South Africa",2022,"HIV/AIDS","Parasitic",9.7,13.67,7,"Child","Other",294289,90.77,2.91,1.37,"Medication",27869,"Yes",79.61,4865,7.03,75685,0.62,85.55
"Australia",2024,"Parkinson's Disease","Cardiovascular",10.48,8.48,1.86,"Adult","Male",824646,82.23,2.21,1.73,"Surgery",39566,"No",93.84,1016,2.86,45747,0.81,35.88
"Nigeria",2024,"HIV/AIDS","Viral",7.67,4.1,5.47,"Child","Other",343559,62.41,3.31,1.07,"Medication",23326,"No",61.94,2958,6.81,37079,0.82,66.21
"UK",2022,"Zika","Viral",5.18,12.88,4.36,"Young Adult","Other",172457,79.03,4.73,4.96,"Therapy",33515,"Yes",62.57,1581,3.88,99133,0.48,59.95
"USA",2022,"Cholera","Parasitic",5.6,1.68,4.98,"Senior","Male",910554,60.35,2.33,6.16,"Therapy",17027,"No",90.6,1725,2.97,90105,0.83,30.84
"South Africa",2023,"HIV/AIDS","Metabolic",17.14,14.68,5.27,"Young Adult","Male",55271,97.18,3.08,0.98,"Vaccination",16452,"No",60.72,4212,7,89443,0.57,67.83
"Nigeria",2024,"Ebola","Chronic",14.9,10.16,7.9,"Child","Female",12725,71.5,3.94,0.99,"Therapy",44224,"Yes",82.14,947,7.68,63356,0.79,55.35
"Italy",2024,"Influenza","Genetic",9.11,5.73,1.72,"Young Adult","Female",96618,64.54,1.74,2.43,"Vaccination",28605,"Yes",64.09,31,5.58,46415,0.45,57.81
"South Africa",2020,"Measles","Infectious",6.95,3.07,1.17,"Senior","Female",434605,79.77,3.85,9.78,"Surgery",38086,"Yes",55.53,2219,3.42,1705,0.84,38.48
"India",2023,"Asthma","Respiratory",4.48,3.81,1.35,"Child","Male",564333,74.33,0.51,6.77,"Therapy",38144,"No",88.52,4503,3.23,93583,0.43,50.78
"Saudi Arabia",2020,"Zika","Genetic",10.75,5.93,3.4,"Adult","Other",972671,54.99,4.34,6.71,"Vaccination",1541,"No",67.14,514,0.88,27385,0.49,89.07
"China",2021,"Zika","Metabolic",1.5,13.38,4.54,"Senior","Male",651049,71.18,2.2,7.33,"Medication",21491,"No",56.74,439,3.48,62378,0.79,79.07
"Australia",2022,"Parkinson's Disease","Autoimmune",8.13,9.18,9,"Senior","Female",861029,74.8698932384342,1.34,0.76,"Medication",29293,"No",98.04,3401,8.13,95387,0.78,35.97
"Saudi Arabia",2022,"Cholera","Infectious",18.8,14.75,7.75,"Child","Male",915055,92.93,3.07,1.13,"Therapy",34748,"No",70.63,2262,8.51,61445,0.76,76.16
"Canada",2022,"Diabetes","Respiratory",6.25,4.48,5.18,"Adult","Female",984974,51.42,3.45,5.63,"Vaccination",47358,"No",65.67,889,0.64,92048,0.65,65.6
"Turkey",2020,"Polio","Respiratory",4.17,11.2,5.56,"Young Adult","Female",576298,56.69,3.83,3.88,"Therapy",17695.1,"Yes",51.19,419,8.03,13121,0.81,32.55
"Japan",2022,"Hypertension","Bacterial",9.36,7.36,3.29,"Young Adult","Female",823307,61.6,2.72,7.22,"Vaccination",216,"Yes",51.87,4001,3.99,52364,0.84,50.52
"Mexico",2023,"Ebola","Viral",12.4,8.71,8.33,"Adult","Female",935439,80.45,0.89,6.25,"Vaccination",11942,"Yes",82.11,4540,2.96,59700,0.8,31.55
"South Korea",2023,"Hypertension","Infectious",10.09,8.03,3.94,"Senior","Male",153565,95.71,2.81885245901639,6.31,"Surgery",47579,"No",60.05,1270,6.26,55368,0.64,78.11
"Germany",2021,"Cancer","Respiratory",2.87,12.64,8.77,"Senior","Other",510077,83.21,4.2,6.38,"Medication",33736,"No",95.38,609,7.05,96741,0.47,21.35
"South Africa",2020,"Alzheimer's Disease","Genetic",18.62,4.4,3.14,"Adult","Male",111571,68.35,4.71,9.65,"Surgery",18875,"Yes",62.05,4747,4.55,30399,0.85,65.87
"USA",2020,"Rabies","Bacterial",6.63,14.5,5.48,"Adult","Male",42138,62.02,0.88,8.48,"Surgery",44339,"No",98.05,2537,3.89,66326,0.75,89.24
"USA",2023,"Ebola","Cardiovascular",1.84,1.25,5.8,"Senior","Female",39859,94.54,3.13,4.02,"Surgery",44723,"Yes",92.54,718,5.63,80316,0.85,37.9
"USA",2022,"Zika","Chronic",12.3,11.76,9.44,"Senior","Female",743185,85.79,4.72,5.49,"Therapy",4312,"Yes",71.97,1809,1.63,86675,0.55,46.15
"Italy",2024,"Rabies","Chronic",8.03,8.24,1.65,"Adult","Female",411914,52.17,4.33,7.13,"Medication",35913,"Yes",79.14,4977,6.02,73984,0.83,34.19
"Indonesia",2023,"COVID-19","Viral",4.25,4.17,5.38,"Young Adult","Female",72453,90.79,4.09,3.4,"Therapy",6059,"No",57.01,1972,0.79,76612,0.51,64.09
"Argentina",2021,"Tuberculosis","Cardiovascular",12.09,12.89,2.17,"Child","Male",645219,65.75,3.29,6.86,"Surgery",29732,"Yes",96.29,2885,4.15,40259,0.74,87.74
"Russia",2020,"Asthma","Bacterial",8.9,5.38,0.82,"Child","Other",621501,68.34,1.75,6.53,"Vaccination",11487,"No",55.27,1318,7.47,3848,0.55,81.61
"South Korea",2022,"HIV/AIDS","Metabolic",5.07,0.13,7.02,"Adult","Male",992534,66.46,0.65,2.02,"Therapy",25461,"No",93.51,1838,5.81,63257,0.78,56.0047826086956
"Saudi Arabia",2021,"Tuberculosis","Cardiovascular",15.96,3.18,6.08,"Adult","Other",965747,69.8,3.9,5.2,"Medication",46874,"Yes",87.96,121,1.97,84904,0.53,47.72
"Nigeria",2023,"Diabetes","Cardiovascular",9.56,9.06,3.31,"Adult","Other",14100,61.53,3.32,9.25,"Therapy",30213,"Yes",66.42,4074,0.68,89444,0.4,40.35
"Mexico",2021,"Hypertension","Autoimmune",9.73,12.96,2.46,"Child","Other",344868,97.82,3.84,6.25,"Therapy",5656,"Yes",56.53,4631,3.1,64833,0.65,63.04
"Argentina",2020,"Ebola","Genetic",12.2,5.75,4.38,"Adult","Other",473222,55.42,1.83,7.66,"Medication",5514,"Yes",95.1,873,3.95,95421,0.55,49.47
"Indonesia",2024,"Cancer","Genetic",18.52,14.37,1.32,"Senior","Female",460645,88.61,1.4,4.37,"Therapy",10357,"No",55.93,3388,4.34,83000,0.44,56.08
"Italy",2023,"HIV/AIDS","Metabolic",2.86,5.24,4.75,"Young Adult","Male",564938,59.77,2.44,5.25,"Vaccination",22627.625,"No",71.61,3207,9.46,801,0.88,67.1
"Russia",2022,"Parkinson's Disease","Cardiovascular",11.9,1.37,2.67,"Adult","Female",494829,54.49,2.77,2.11,"Medication",38215,"No",75.68,2818,5.43,97108,0.69,84.68
"Nigeria",2022,"Dengue","Genetic",8.36,10,3.69,"Child","Female",472584,74.33,0.87,1.02,"Medication",25467,"Yes",78.73,2959,3.3,33246,0.44,74.96
"France",2020,"Measles","Parasitic",2.02,4.85,1.46,"Child","Female",13698,56.58,2.55,9.86,"Surgery",38140,"Yes",73.8,664,3.09,46227,0.62,51.25
"Australia",2022,"Dengue","Cardiovascular",11.2,5.81,7.45,"Senior","Other",546696,91.72,1.18,1.41,"Medication",30744,"No",71.74,1566,4.34,99705,0.84,86.42
"Turkey",2022,"Zika","Viral",11.33,11.42,3.92,"Child","Male",992034,86.7,2.68,1.14,"Surgery",35202,"No",63.23,1917,1.7,22614,0.64,44.21
"India",2022,"Cancer","Respiratory",10.98,14.79,4.21,"Child","Other",398248,84.51,4.85,5.68,"Therapy",39053,"Yes",60.3,3938,8.27,89035,0.64,67.36
"Turkey",2020,"Cholera","Metabolic",12.85,3.2,8.57,"Senior","Other",854430,52.44,4.97,9.86,"Surgery",35326,"Yes",95.1,2800,4.9,88117,0.77,47.98
"UK",2024,"Hypertension","Autoimmune",9.47,8.15,2.95,"Senior","Male",102068,99.56,2.28,1.91,"Vaccination",7898,"Yes",74.47,2488,5.12,34301,0.75,69.38
"India",2023,"Dengue","Chronic",19.48,3.25,1.78,"Young Adult","Male",265979,75.37,1.4,7.66,"Surgery",46635,"No",96.55,861,1.49,71740,0.54,21.62
"Mexico",2020,"COVID-19","Bacterial",0.5,4.19,1.76,"Adult","Female",271590,86,3.29,7.41,"Surgery",18202,"Yes",80.68,1999,9.97,50719,0.55,50.32
"Brazil",2024,"Parkinson's Disease","Metabolic",2.06,2.72,5.79,"Adult","Other",355870,87.08,4.7,4.37,"Vaccination",48616,"Yes",50.23,4320,0.87,25127,0.71,27.03
"Australia",2024,"Parkinson's Disease","Bacterial",13.07,0.54,7.32,"Child","Other",837542,63.65,4.48,1.59,"Vaccination",49561,"No",74.77,4784,7.81,69793,0.52,27.9
"Nigeria",2023,"Hepatitis","Viral",11.86,7.06,4.94,"Adult","Female",23475,97.33,2.48,4.84,"Surgery",13973,"Yes",78.3,3652,2.27,7801,0.54,73.81
"UK",2024,"Ebola","Bacterial",1,2.29,9.66,"Adult","Other",212288,71.11,1.11,8.41,"Medication",31745,"Yes",89.49,2471,6.21,30615,0.54,78.69
"Brazil",2023,"Polio","Cardiovascular",16.04,8.29,8.81,"Child","Other",946395,84.33,4.26,7.63,"Surgery",15730,"No",75.85,341,6.03,13933,0.61,43.91
"South Africa",2020,"Polio","Autoimmune",6.89,14.18,3.08,"Child","Other",826348,54.22,1.19,1.93,"Vaccination",2227,"Yes",97.58,1808,0.49,61102,0.8,26.96
"South Africa",2024,"Ebola","Parasitic",8.865,0.55,5.84,"Young Adult","Other",623998,87.39,1.83,2.61,"Surgery",34062,"No",90.36,4768,4.14,60149,0.69,31.53
"South Korea",2023,"Ebola","Respiratory",6.4,13.44,4.21,"Senior","Female",66866,68.38,2.19,9.39,"Medication",44993,"Yes",68.88,3941,3.94,89661,0.84,43.75
"Nigeria",2023,"Zika","Infectious",11.43,9.68,8.82,"Young Adult","Other",72931,74.04,3.2,9.48,"Medication",32468,"Yes",92.58,4691,2.13,5440,0.49,63.15
"Turkey",2021,"Alzheimer's Disease","Respiratory",16.47,14.6,7.89,"Young Adult","Female",755415,71.83,5,0.74,"Surgery",27321,"Yes",93.36,1115,4.71,69777,0.01,21.12
"Indonesia",2023,"Cholera","Genetic",14.6,0.96,1.24,"Young Adult","Female",822091,65.17,3.17,9.19,"Vaccination",43808,"No",77.54,4734,8.95,14572,0.88,69.16
"Argentina",2022,"Malaria","Genetic",6.37,13.95,7.46,"Senior","Female",120937,51.69,4.54,2.85,"Therapy",14148,"No",58.26,4553,7.51,94616,0.67,29.33
"Canada",2021,"Hepatitis","Viral",19.89,6.77,3.24,"Adult","Other",210873,94.91,0.53,2.81,"Vaccination",33490,"No",81.99,2300,7.1,48041,0.61,53.56
"France",2022,"Leprosy","Respiratory",15.82,1.97,3.26,"Young Adult","Male",666834,67.94,3.08,7.85,"Medication",11118,"No",54.61,2120,0.74,38211,0.71,54.99
"Australia",2021,"Tuberculosis","Viral",7.71,4.21,7.97,"Adult","Female",507457,96.21,4.81,9.65,"Therapy",3680,"Yes",66.08,2662,0.36,94494,0.76,61.2703278688525
"India",2023,"COVID-19","Viral",6.18,4.93,8.1,"Senior","Female",704523,99.3,0.67,6.42,"Therapy",23563,"No",84.76,1008,0.54,64583,0.59,85.8
"Argentina",2023,"Dengue","Bacterial",3.64,13.75,1.95,"Adult","Other",379988,94.88,2.36,6.83,"Therapy",49771,"No",55.22,1336,4.25,6848,0.54,76.02
"Australia",2024,"Malaria","Autoimmune",6.41,6.23,9.48,"Senior","Male",276795,86.95,1.7,3.6,"Medication",47157,"No",81.77,1852,6.44,60312,0.52,59.72
"UK",2020,"Dengue","Bacterial",12.83,6.68,6.17,"Adult","Female",991693,85.91,4.67,6.58,"Therapy",17269,"No",70.38,1330,5.16,61033,0.84,54.8
"USA",2022,"Tuberculosis","Chronic",15.45,14.72,1.99,"Child","Female",731818,95.1,3.21,9.08,"Therapy",35842,"No",67.63,3017,8.89,42959,0.71,62
"France",2024,"Hepatitis","Bacterial",6.19,8.88,8.62,"Adult","Male",304127,78.96,3.91,6.41,"Vaccination",48180,"Yes",62.32,2200,1.99,88466,0.76,48.94
"China",2020,"Hepatitis","Bacterial",17.47,13.15,2.93,"Child","Male",18189,99.98,2.27,2.43,"Medication",25165,"Yes",96,576,1.36,52782,0.53,72.85
"South Africa",2020,"Cancer","Viral",8.2,13.44,3.28,"Child","Other",6400,57.94,1.71,8.35,"Vaccination",47933,"No",97.61,192,0.2,33011,0.78,34.98
"USA",2022,"Tuberculosis","Infectious",3.75,10.21,8.94,"Adult","Female",570307,62.3,4.48,2.87,"Surgery",7215,"No",80.88,4251,3.71,46376,0.77,63.79
"Nigeria",2020,"Zika","Genetic",12.83,3.52,7.88,"Young Adult","Female",461132,88.32,4.12,9.21,"Vaccination",16013,"Yes",95.2,3818,3.32,47471,0.44,81.71
"India",2024,"Dengue","Chronic",17.65,8.64,0.64,"Adult","Other",365567,61.52,4.55,7.83,"Surgery",31364,"Yes",67.84,3672,9.14,85882,0.43,69.77
"South Korea",2021,"Hypertension","Genetic",14.67,10.13,2.87,"Senior","Male",809435,80.98,4.26,0.88,"Medication",9010,"Yes",50.32,2751,2.73,77483,0.72,26.96
"Turkey",2023,"Influenza","Neurological",6.83,10.53,5.7,"Senior","Male",391075,50.34,1,3.79,"Vaccination",31540,"No",75.3,3675,9.44,92429,0.81,43.35
"Germany",2020,"Ebola","Cardiovascular",2.92,1.16,6.6,"Senior","Female",485493,83.71,3.14,1.03,"Surgery",32759,"No",69.6,1900,2.69,65478,0.63,28.75
"Indonesia",2022,"Parkinson's Disease","Cardiovascular",16.62,8.63,4.95,"Adult","Other",826855,76.14,4.84,9.25,"Medication",41102,"Yes",66.1,2778,1.84,59341,0.47,85.35
"USA",2020,"Rabies","Chronic",13.56,10.74,6.26,"Young Adult","Male",965506,80.09,3.35,7.92,"Surgery",31998,"No",94.15,2968,5.51,8396,0.9,34.64
"Canada",2022,"COVID-19","Genetic",4.94,10.29,3.07,"Young Adult","Female",172635,68.82,1.74,3.19,"Medication",44344,"Yes",96.41,2466,6.47,86411,0.81,67.43
"Germany",2022,"Influenza","Autoimmune",16.94,5.41,0.5,"Child","Male",968790,74.4015217391304,1.4,1.4,"Vaccination",11419,"No",58.29,3513,0.65,24130,0.83,22.46
"Australia",2022,"Ebola","Metabolic",9.82,2.99,5.18,"Senior","Male",797069,64.41,1.62,0.58,"Vaccination",29985,"No",50.44,3854,8.03,71206,0.73,80.47
"Saudi Arabia",2024,"Parkinson's Disease","Genetic",11.32,12.47,0.11,"Senior","Male",827976,97.1,2.76,4.47866666666667,"Surgery",17780,"No",98.86,3756,6.44,2608,0.76,35.85
"Germany",2024,"Malaria","Respiratory",8.83,8.64,4.84,"Child","Female",777461,81.9,4.74,4.07,"Vaccination",7615,"No",79.4,745,9.29,40143,0.87,77.52
"Canada",2022,"Influenza","Cardiovascular",13.8,11.25,0.51,"Young Adult","Male",510104,65.73,4.73,9.31,"Vaccination",22200,"No",65.11,1646,5.63,10764,0.9,70.19
"Australia",2020,"Cholera","Infectious",10.72,0.24,9.18,"Adult","Male",868251,91.73,4.01,6.56,"Surgery",15684,"Yes",90.74,224,7.88,76883,0.81,58.72
"China",2024,"Leprosy","Metabolic",15.97,11,7.83,"Child","Female",847103,75.75,4.04,1.42,"Vaccination",34124,"Yes",59.66,3656,0.72,88847,0.58,28.17
"Argentina",2021,"Zika","Chronic",17.51,9.56,9.88,"Young Adult","Female",347295,69.64,2.09,2.7,"Surgery",48599,"No",91.51,3585,9.41,44416,0.55,75.9
"Mexico",2020,"Cancer","Cardiovascular",9.05,8.9,5.51,"Adult","Male",192956,81.87,4.14,9.68,"Surgery",33169,"No",96.72,387,9.67,70548,0.49,36.2
"Turkey",2022,"Malaria","Parasitic",19.14,11.11,9.87,"Young Adult","Other",987721,70.36,1.72,6.38,"Vaccination",27064,"No",80.93,4925,4.72,22343,0.4,26.56
"Canada",2020,"Rabies","Metabolic",16.61,6.38,8.84,"Senior","Female",406196,63.61,1.99,0.57,"Medication",17863,"No",92.27,22,8.48,76086,0.59,85.59
"Brazil",2020,"Ebola","Bacterial",4.27,11.17,1.38,"Senior","Female",772365,85.74,3.08,1.31,"Therapy",48600,"Yes",62.07,3315,7.33,75943,0.85,79.2
"China",2020,"Rabies","Autoimmune",12.13,5.17,4.13,"Young Adult","Female",807771,95.27,4.11,3.82,"Surgery",22694,"No",88.59,3483,1.72,62662,0.82,24.06
"South Korea",2022,"Ebola","Metabolic",7.52,13.71,9.77,"Adult","Other",486072,90.11,2.73,8.95,"Surgery",28575,"No",62.46,562,2.24,56801,0.58,61.27
"India",2020,"COVID-19","Respiratory",6.26,1.27,3.84,"Senior","Female",884886,67.89,3.4,2.95,"Surgery",27548,"Yes",93.83,3023,6.86,94461,0.48,72.9
"Saudi Arabia",2022,"Alzheimer's Disease","Neurological",7.68,3.77,7.04,"Senior","Female",825629,98.32,2.53055555555556,2.27,"Therapy",28675,"No",61.28,611,9.35,96945,0.75,57.46
"Australia",2022,"Influenza","Cardiovascular",14.36,2.33,7.98,"Child","Other",471129,91.69,0.69,6.71,"Surgery",32581,"No",73.53,1570,4.81,65221,0.45,31.1
"UK",2021,"Zika","Genetic",0.62,7.87,3.59,"Senior","Male",360123,51.56,3.08,0.66,"Surgery",38898,"Yes",74.62,1480,1.33,20810,0.57,74.06
"South Korea",2020,"Alzheimer's Disease","Infectious",11.15,13.57,2.23,"Senior","Male",160384,79.55,4.38,2.68,"Vaccination",17207,"Yes",54.91,1705,8.9,85314,0.47,36.76
"India",2024,"COVID-19","Chronic",14.56,10.11,3.35,"Senior","Other",895184,78.08,1.22,8.85,"Surgery",33273,"Yes",56.63,4680,1.46,1360,0.51,36.28
"Russia",2021,"Malaria","Respiratory",16.1,2.17,2.89,"Child","Other",676725,64.43,4.13,5.18,"Therapy",23182,"No",83.61,4204,7.64,17190,0.78,85.86
"South Korea",2024,"Alzheimer's Disease","Infectious",16.08,12.16,7.92,"Young Adult","Male",436878,86.04,0.79,5.61,"Vaccination",49270,"No",81.88,2758,0.91,52810,0.69,33.69
"France",2022,"Asthma","Neurological",18.94,0.27,4.61,"Senior","Male",399957,61.62,0.95,5.07,"Medication",45231,"Yes",88.67,4755,6.78,78650,0.58,37.36
"India",2020,"Malaria","Parasitic",9.75,9.63,9.88,"Child","Other",447241,55.23,3.19,7.06,"Medication",17831,"Yes",88.7,196,1.14,21210,0.51,26.18
