Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
India,2020,Influenza,Genetic,4.34,13.98,9.28,0-18,Male,733152,89.94,2.73,2.8,Therapy,5650.0,Yes,78.93,4450,5.66,515.0,0.44,35.41
Russia,2024,Tuberculosis,Viral,1.31,14.86,6.76,61+,Other,151069,87.08,2.74,2.26,Vaccination,41739.0,Yes,88.29,159,8.18,1288.0,0.6,51.01
India,2021,Dengue,Neurological,8.5,14.4,7.52,0-18,Male,414736,91.38,4.56,4.06,Vaccination,4102.0,Yes,61.23,1001,7.44,75481.0,0.67,74.14
USA,2022,Leprosy,Respiratory,6.42,14.05,8.52,19-35,Female,463793,,3.0,7.39,Vaccination,30588.0,Yes,70.88,1019,2.87,47130.0,0.89,48.37
China,2021,Rabies,Chronic,2.21,12.28,3.56,0-18,Female,36376,85.8,1.05,7.3,Surgery,40303.0,No,91.96,1582,2.85,2146.0,0.49,55.43
India,2024,Hypertension,Infectious,3.4,4.02,4.13,36-60,Other,867574,57.56,4.34,8.14,Medication,2882.0,Yes,87.93,3970,2.39,87234.0,0.57,49.09
South Africa,2021,COVID-19,Parasitic,10.37,8.24,9.13,0-18,Female,410376,51.93,0.57,9.17,Therapy,1594.0,No,93.52,2889,8.21,62111.0,0.7,44.42
India,2022,Asthma,Cardiovascular,2.8,7.86,3.62,19-35,Other,974331,71.92,2.93,3.79,Medication,13689.0,No,70.67,3886,3.98,33843.0,0.71,68.97
South Africa,2022,Parkinson's Disease,Cardiovascular,11.31,0.95,0.43,36-60,Female,518848,64.19,3.85,8.91,Vaccination,38511.0,No,54.12,4651,2.01,55195.0,0.55,37.26
South Africa,2021,Asthma,Genetic,2.07,12.81,5.79,36-60,Male,728522,74.57,3.41,0.62,Medication,5181.0,No,76.54,2785,8.15,84738.0,0.7,54.16
India,2023,Cancer,Autoimmune,0.31,6.32,0.58,61+,Female,459674,64.87,2.82,5.36,Medication,47462.0,Yes,89.74,2826,1.33,88839.0,0.7,50.7
UK,2021,Hypertension,Autoimmune,,13.16,5.01,0-18,Female,487019,51.77,1.68,2.67,Vaccination,5583.0,No,50.83,745,1.62,53651.0,0.84,83.56
Nigeria,2021,Malaria,Viral,2.51,8.56,7.23,19-35,Male,575598,74.85,1.86,0.92,Therapy,9556.0,Yes,57.58,2179,3.77,26815.0,0.69,39.81
India,2021,Diabetes,Autoimmune,0.52,12.55,3.0,61+,Male,833032,95.69,4.2,1.95,Vaccination,14821.0,No,82.3,879,2.67,60771.0,0.72,29.21
UK,2022,Tuberculosis,Neurological,2.46,14.2,3.18,19-35,Other,518449,51.7,1.64,6.65,Therapy,38720.0,Yes,68.49,443,2.37,7418.0,0.7,80.8
UK,2024,Tuberculosis,Chronic,10.77,10.18,8.27,36-60,Male,873252,97.49,4.83,4.75,Medication,49643.0,Yes,69.92,4254,8.95,60408.0,0.42,32.0
South Africa,2021,Tuberculosis,Viral,2.4,13.02,4.58,19-35,Other,350077,65.28,2.71,8.66,Medication,33688.0,No,65.9,3541,2.37,26338.0,0.9,72.62
South Africa,2021,Leprosy,Respiratory,17.76,9.24,8.01,0-18,Female,110097,58.33,3.26,6.53,Surgery,44252.0,No,98.38,911,6.7,79526.0,0.79,20.35
China,2024,Zika,Viral,4.18,3.56,1.99,0-18,Other,720671,58.25,2.61,2.4,Vaccination,10456.0,Yes,57.73,334,0.69,84589.0,0.6,54.37
USA,2021,Hypertension,Chronic,12.95,5.5,7.85,0-18,Other,379671,68.65,4.72,4.29,Therapy,31126.0,No,70.71,1812,8.74,43271.0,0.58,70.71
China,2020,Parkinson's Disease,Respiratory,19.66,5.67,6.54,36-60,Other,611278,65.72,1.05,7.11,Medication,15613.0,No,85.79,2511,6.26,70779.0,0.72,64.2
South Africa,2021,Asthma,Chronic,10.29,9.45,3.04,36-60,Female,980474,56.71,3.72,1.09,Medication,4956.0,No,65.03,4531,4.66,69575.0,0.83,42.28
Russia,2020,Zika,Viral,10.91,,2.73,19-35,Female,982391,97.91,0.94,7.22,Therapy,7265.0,No,98.1,3524,1.65,59782.0,0.54,47.5
USA,2021,Leprosy,Viral,5.34,11.27,0.44,61+,Other,61017,95.54,0.54,9.04,Surgery,41856.0,Yes,75.77,2576,7.56,96587.0,0.44,39.24
Russia,2023,Parkinson's Disease,Chronic,14.88,1.28,7.76,61+,Male,662265,97.68,3.89,5.97,Surgery,41452.0,No,89.68,4601,5.72,80854.0,0.01,73.85
Nigeria,2024,Asthma,Viral,2.19,9.58,8.08,36-60,Other,280897,76.18,1.92,8.4,Vaccination,26944.0,Yes,78.21,1658,0.86,19629.0,0.44,42.81
UK,2024,HIV/AIDS,Chronic,9.14,5.92,1.68,0-18,Other,426930,62.45,3.94,3.25,Surgery,21516.0,No,64.88,796,3.11,52464.0,0.41,52.41
Nigeria,2020,Leprosy,Chronic,5.54,3.84,4.45,0-18,Female,270989,74.24,2.86,,Vaccination,9683.0,Yes,63.51,3628,0.96,52275.0,0.85,66.25
Nigeria,2022,Diabetes,Parasitic,19.52,14.6,1.4,19-35,Female,234274,68.58,2.41,1.45,Medication,41782.0,No,96.36,2380,8.33,24546.0,0.48,84.78
UK,2022,Polio,Bacterial,8.58,2.35,2.66,19-35,Other,133436,71.5,4.12,8.16,Surgery,28920.0,No,56.72,2427,0.35,63865.0,0.62,62.21
UK,2024,COVID-19,Metabolic,0.55,8.49,9.99,19-35,Male,467254,85.76,,4.86,Therapy,1612.0,Yes,72.08,2461,2.64,81107.0,0.52,52.17
China,2022,Cholera,Cardiovascular,11.38,14.12,8.47,61+,Other,815155,89.87,4.53,7.69,Vaccination,32768.0,Yes,72.75,4590,7.96,14069.0,0.73,82.15
India,2023,Ebola,Metabolic,16.67,14.32,1.47,61+,Female,961241,51.49,1.8,6.1,Vaccination,36026.0,Yes,73.35,3099,0.53,50884.0,0.7,26.2
UK,2021,Cholera,Parasitic,3.57,12.94,2.1,0-18,Male,590694,76.11,4.86,5.34,Medication,46825.0,No,88.43,4551,6.94,71727.0,0.63,70.93
USA,2022,Influenza,Chronic,,,5.75,0-18,Other,268567,53.51,3.56,3.95,Therapy,13033.0,No,80.05,146,5.23,83285.0,0.56,66.96
India,2023,Alzheimer's Disease,Cardiovascular,5.33,5.32,0.74,61+,Male,678122,66.25,3.35,6.01,Therapy,49845.0,Yes,56.61,2646,2.77,56516.0,0.55,36.42
Argentina,2023,Zika,Viral,18.73,5.74,9.71,19-35,Other,897857,68.43,3.39,8.91,Therapy,11351.0,Yes,63.78,1209,2.41,42641.0,0.86,25.87
South Africa,2022,Malaria,Cardiovascular,1.84,2.05,6.25,36-60,Female,622039,90.37,2.32,8.5,Vaccination,16214.0,No,85.67,1198,3.71,35852.0,0.49,55.23
South Africa,2023,Diabetes,Chronic,16.2,12.61,9.08,61+,Male,983481,75.98,0.73,4.24,Surgery,8091.0,No,85.52,1234,2.14,31256.0,0.73,61.56
Argentina,2022,Measles,Viral,9.97,13.12,5.53,36-60,Female,756002,95.56,3.0,7.14,Therapy,32440.0,Yes,53.85,2120,0.95,65889.0,0.77,37.3
USA,2022,Zika,Chronic,8.23,14.21,4.13,61+,Female,608592,57.72,4.58,5.86,Surgery,10695.0,Yes,96.19,953,1.66,72537.0,0.79,34.98
South Africa,2021,Cholera,Bacterial,15.2,11.58,1.27,19-35,Male,892740,60.29,4.14,,Surgery,41013.0,No,87.42,1834,4.51,37306.0,0.87,61.45
Nigeria,2023,Ebola,Viral,19.63,2.66,9.16,36-60,Female,584116,93.85,2.87,0.81,Medication,39971.0,Yes,83.59,1894,0.18,42153.0,0.78,85.81
Russia,2021,Tuberculosis,Bacterial,12.64,11.82,7.75,36-60,Male,601318,76.74,1.94,7.22,Vaccination,11025.0,Yes,72.9,312,3.35,99342.0,0.73,50.16
China,2022,Ebola,Neurological,11.38,1.45,4.5,61+,Other,24129,89.94,3.97,5.27,Vaccination,31557.0,No,73.31,2863,7.08,97953.0,0.72,53.93
Russia,2020,Cholera,Respiratory,13.31,1.47,3.62,61+,Male,853351,59.29,1.63,9.82,Surgery,39393.0,No,87.34,3286,3.75,34163.0,0.45,86.56
Argentina,2023,Cholera,Autoimmune,10.02,7.51,0.11,61+,Male,883636,88.96,2.39,2.69,Therapy,38877.0,No,80.1,546,5.27,82649.0,0.6,39.04
USA,2020,Cholera,Autoimmune,11.17,11.64,5.62,19-35,Other,815420,79.08,4.3,0.69,Vaccination,33385.0,No,62.42,3573,2.68,59658.0,0.72,39.8
South Africa,2024,Dengue,Metabolic,7.79,4.29,1.88,0-18,Female,350256,70.58,4.77,8.73,Vaccination,49804.0,No,89.24,723,8.86,72118.0,0.9,83.24
South Africa,2021,Hypertension,Respiratory,18.46,7.44,1.58,0-18,Male,505636,79.09,0.75,4.16,Medication,18890.0,No,96.6,734,5.61,13658.0,0.61,30.01
South Africa,2024,Tuberculosis,Parasitic,14.82,10.27,2.9,61+,Female,148996,52.97,1.12,2.26,Therapy,20312.0,No,93.61,2959,5.66,78901.0,0.79,63.32
UK,2022,Dengue,,6.47,10.51,7.2,36-60,Female,364694,78.95,1.61,1.65,Surgery,44003.0,Yes,61.68,2569,3.48,97909.0,0.86,42.19
Russia,2023,Polio,Autoimmune,20.0,9.63,3.47,19-35,Male,783181,88.36,3.61,3.33,Therapy,21165.0,No,87.95,3639,4.93,80755.0,0.6,45.17
Argentina,2021,Hypertension,Genetic,9.2,13.09,6.41,36-60,Other,718309,64.38,2.35,7.28,Surgery,18942.0,No,67.26,1509,1.43,74265.0,0.52,46.01
Russia,2022,HIV/AIDS,Parasitic,12.46,9.31,3.45,61+,Female,159093,69.92,3.79,5.86,Surgery,9295.0,Yes,77.55,280,7.48,29879.0,0.75,60.63
USA,2021,COVID-19,Autoimmune,2.7,9.54,6.15,19-35,Male,311191,65.36,3.6,1.39,Therapy,20223.0,Yes,68.66,410,4.54,77902.0,0.86,54.25
Argentina,2023,Malaria,Bacterial,10.66,7.76,3.66,36-60,Female,447426,95.7,1.74,1.83,Vaccination,36038.0,No,76.47,2711,9.68,12631.0,0.55,86.82
India,2024,Measles,Neurological,8.99,4.38,9.01,36-60,Male,757504,68.6,3.01,5.45,Surgery,19233.0,No,64.6,208,7.84,54032.0,0.42,56.79
USA,2020,Parkinson's Disease,Neurological,19.79,1.78,5.92,36-60,Female,324611,63.01,4.17,2.71,Medication,6506.0,No,81.42,3212,4.42,77528.0,0.73,34.43
India,2024,Ebola,Infectious,0.61,0.88,1.38,19-35,Male,482413,81.82,4.44,4.21,Surgery,46297.0,Yes,63.71,1203,8.82,12321.0,0.73,39.72
UK,2023,Ebola,Chronic,2.28,5.13,9.13,36-60,Male,754563,90.21,1.53,8.89,Surgery,45331.0,Yes,71.2,2826,2.34,76223.0,0.55,
South Africa,2023,Tuberculosis,Viral,7.08,14.04,4.3,61+,Female,864202,99.01,4.98,9.47,Medication,36243.0,Yes,65.64,1141,2.75,1295.0,0.72,39.02
Russia,2022,Cholera,Viral,17.28,10.85,7.73,36-60,Female,754793,77.88,1.71,4.46,Vaccination,10059.0,Yes,92.03,1714,5.66,584.0,0.53,34.11
USA,2022,Asthma,Viral,12.45,13.57,5.01,0-18,Female,525354,61.88,4.61,3.12,Therapy,37380.0,Yes,68.76,4480,2.97,41588.0,0.47,23.24
UK,2021,COVID-19,Bacterial,9.49,4.46,8.03,36-60,Other,20285,87.96,1.26,0.7,Surgery,21293.0,No,53.08,3709,7.43,14323.0,0.63,60.81
India,2024,Zika,,12.0,13.26,,61+,Other,51888,98.98,2.51,6.03,Vaccination,29835.0,Yes,91.86,1611,4.33,50357.0,0.67,72.24
India,2024,HIV/AIDS,Bacterial,3.37,7.52,6.41,61+,Male,683063,57.48,4.9,6.34,Medication,31577.0,No,71.24,1109,3.83,25622.0,0.56,67.69
USA,2024,Polio,Metabolic,10.89,2.35,5.99,19-35,Other,651718,87.76,2.27,,Therapy,15981.0,Yes,72.46,751,3.59,1620.0,0.46,63.72
Nigeria,2021,Cholera,Parasitic,6.39,7.53,8.2,36-60,Female,628008,84.21,3.96,8.62,Medication,4171.0,Yes,80.31,958,2.83,16667.0,0.63,77.55
USA,2023,Malaria,Chronic,9.26,7.44,0.9,19-35,Other,721978,74.96,3.25,8.14,Therapy,1529.0,Yes,54.11,2574,5.16,33368.0,0.75,37.92
USA,2024,Alzheimer's Disease,Bacterial,6.42,4.3,2.45,19-35,Male,66546,89.93,3.25,2.88,Vaccination,37373.0,No,95.45,639,7.24,24003.0,0.82,39.75
USA,2023,Rabies,Cardiovascular,1.06,11.35,7.05,19-35,Male,619873,71.62,4.84,8.49,Vaccination,33947.0,Yes,90.05,1089,7.66,83076.0,0.84,77.83
USA,2021,Parkinson's Disease,Cardiovascular,8.91,1.49,9.37,0-18,Male,534563,86.87,4.47,6.26,Vaccination,4840.0,No,80.95,3743,8.82,68468.0,0.9,23.88
Nigeria,2022,Cancer,,0.78,4.61,5.96,19-35,Female,539356,58.01,4.76,2.14,Vaccination,21643.0,No,84.08,4668,5.19,72323.0,0.75,36.78
Russia,2023,COVID-19,Chronic,6.22,1.07,2.75,0-18,Male,249213,77.05,4.86,0.96,Vaccination,16265.0,Yes,55.15,3943,5.63,73882.0,0.53,52.59
USA,2021,Cancer,Neurological,8.25,5.91,4.35,19-35,Other,126739,90.59,4.43,9.88,Surgery,17081.0,No,74.82,1457,4.8,65749.0,0.83,85.73
Nigeria,2022,Malaria,Infectious,4.87,3.88,4.48,0-18,Other,919563,76.87,4.97,0.8,Medication,30035.0,No,68.39,1431,2.32,18250.0,0.86,76.79
UK,2024,Diabetes,Viral,7.37,7.29,,19-35,Male,798590,84.82,2.58,3.97,Surgery,396.0,Yes,74.93,2285,3.94,28819.0,0.68,53.19
Nigeria,2022,Leprosy,Cardiovascular,10.68,7.3,0.98,0-18,Other,957285,60.0,1.84,3.56,Vaccination,45135.0,No,95.04,4645,1.73,98644.0,0.69,
Russia,2020,Diabetes,Metabolic,1.94,12.19,5.38,19-35,Female,430124,71.45,3.14,2.26,Medication,31352.0,Yes,84.67,4514,6.49,95118.0,0.49,38.01
Russia,2023,Tuberculosis,Cardiovascular,13.6,0.94,3.03,61+,Female,681291,82.17,1.16,8.34,Vaccination,1284.0,Yes,75.19,2420,4.68,1322.0,0.74,63.13
Nigeria,2024,Parkinson's Disease,Metabolic,8.08,5.3,8.22,0-18,Female,343448,51.39,4.01,6.39,Vaccination,1015.0,No,89.37,2253,4.78,47116.0,0.7,55.58
South Africa,2023,Alzheimer's Disease,Autoimmune,17.26,12.03,8.46,36-60,Male,839196,69.41,1.2,1.61,Medication,40543.0,Yes,90.38,4557,0.88,71526.0,0.89,32.66
Argentina,2021,Hepatitis,Autoimmune,13.77,14.04,4.11,36-60,Other,392778,50.83,0.85,4.36,Therapy,27285.0,Yes,51.19,2311,7.0,76248.0,0.81,25.42
South Africa,2022,Parkinson's Disease,Autoimmune,13.56,3.13,5.59,61+,Male,91576,77.41,4.11,0.58,Therapy,21635.0,Yes,68.24,141,2.68,32741.0,0.55,61.75
Russia,2023,Asthma,Autoimmune,10.48,13.42,1.84,61+,Female,800414,87.04,1.59,1.78,Therapy,2599.0,Yes,50.71,541,8.78,57601.0,0.73,28.91
Nigeria,2023,Cholera,Parasitic,4.16,13.02,6.29,19-35,Female,49485,63.76,4.57,6.35,Medication,28169.0,Yes,62.9,1267,1.04,7987.0,0.57,79.38
USA,2022,Malaria,Parasitic,8.64,13.36,5.89,19-35,Other,236711,86.82,4.41,5.97,Vaccination,7919.0,No,66.24,887,5.03,92237.0,0.47,30.13
Argentina,2022,COVID-19,,13.04,8.39,4.93,61+,Other,665432,60.16,0.82,8.77,Medication,34245.0,No,54.69,2399,6.26,70263.0,0.58,89.56
South Africa,2021,Measles,Cardiovascular,19.74,4.45,2.21,36-60,Female,925101,64.39,4.74,2.6,Therapy,36901.0,No,59.3,2224,3.3,6806.0,0.55,26.6
Argentina,2024,Leprosy,Chronic,19.21,3.51,5.77,0-18,Other,428525,98.39,3.83,2.53,Surgery,4284.0,No,54.03,2808,5.9,89783.0,0.65,78.01
Russia,2020,Rabies,Cardiovascular,16.17,10.91,6.0,19-35,Male,668748,74.86,3.11,3.9,Vaccination,37905.0,Yes,56.15,2855,7.62,77717.0,0.85,50.47
South Africa,2020,Dengue,Viral,6.97,1.92,1.24,19-35,Male,587171,65.92,4.0,8.54,Surgery,21670.0,No,78.8,467,4.1,82634.0,0.86,34.89
USA,2020,HIV/AIDS,Neurological,4.61,1.07,6.63,36-60,Female,23229,88.89,4.61,1.11,Vaccination,807.0,Yes,81.21,2160,7.18,21176.0,0.42,83.02
Nigeria,2024,Dengue,Viral,6.93,2.19,0.91,19-35,Other,434650,80.23,3.29,1.34,Surgery,9271.0,Yes,92.33,2379,7.37,97338.0,0.84,21.45
Nigeria,2021,Cholera,Cardiovascular,15.06,14.64,2.56,19-35,Male,611218,75.11,2.35,7.46,Surgery,9738.0,Yes,63.87,505,9.39,50151.0,0.6,51.03
UK,2024,Measles,Neurological,0.93,1.96,2.78,61+,Male,980613,96.84,4.05,4.9,Therapy,,Yes,60.24,1037,9.48,15252.0,0.89,78.2
USA,2024,Influenza,Neurological,13.73,12.14,7.01,19-35,Other,626884,78.31,4.27,7.61,Vaccination,42097.0,No,62.45,3474,9.07,58388.0,0.51,57.14
South Africa,2021,Dengue,,7.38,8.63,7.85,61+,Male,153448,65.02,0.71,4.68,Therapy,9991.0,No,98.07,3160,7.5,58161.0,0.46,63.88
India,2022,Zika,Parasitic,18.54,8.91,2.91,0-18,Male,161691,79.39,4.2,1.6,Medication,31768.0,No,60.89,3095,0.06,28872.0,0.58,26.47
UK,2021,Diabetes,Neurological,9.78,12.38,1.03,61+,Other,52605,97.78,4.96,8.3,Surgery,252280.8764863828,Yes,85.95,1796,1.11,506.0,0.52,60.75
Nigeria,2023,Zika,Neurological,6.25,11.35,9.66,19-35,Male,237714,69.38,2.82,4.86,Medication,28546.0,No,77.44,2711,9.67,10899.0,0.82,47.51
Russia,2024,Leprosy,Viral,6.3,2.1,7.07,61+,Other,916566,79.36,4.63,0.83,Surgery,32659.0,Yes,84.87,3121,0.77,509523.1992481203,0.84,29.95
USA,2023,Cholera,Metabolic,15.28,9.44,1.23,36-60,Other,806222,64.63,3.22,9.6,Medication,25279.0,No,78.59,4566,4.93,39343.0,0.49,72.0
China,2021,Influenza,Infectious,1.13,6.11,8.4,36-60,Female,161369,56.84,4.96,1.36,Surgery,44727.0,No,52.51,1568,8.25,75733.0,0.41,85.11
Argentina,2020,Polio,Metabolic,10.96,12.38,0.82,19-35,Female,553345,50.24,3.7,9.33,Surgery,40435.0,No,61.05,317,5.21,47662.0,0.62,45.28
UK,2020,Polio,Autoimmune,1.86,10.36,2.49,0-18,Female,867361,95.22,2.74,2.83,Therapy,33806.0,Yes,90.84,1654,3.22,48962.0,0.53,32.47
Nigeria,2020,Tuberculosis,Respiratory,8.08,6.97,6.2,19-35,Other,438027,69.37,4.1,3.13,Surgery,45210.0,Yes,84.11,2227,3.76,69389.0,0.42,73.89
Russia,2024,Cancer,Respiratory,0.16,12.25,9.41,61+,Female,308979,51.57,3.97,1.77,Surgery,8141.0,No,68.0,3871,1.71,32645.0,0.4,20.88
Argentina,2023,Alzheimer's Disease,Chronic,4.78,9.78,6.56,19-35,Other,150454,99.9,3.05,5.95,Therapy,7464.0,No,60.83,3788,8.66,59045.0,0.5,25.83
Russia,2024,Cholera,Infectious,3.25,13.0,6.23,19-35,Other,693041,96.41,3.11,8.99,Vaccination,38753.0,No,73.66,1876,8.36,87523.0,0.47,80.7
Russia,2020,Cancer,Respiratory,12.12,10.35,1.15,61+,Other,202448,78.63,2.67,3.9,Therapy,43975.0,Yes,71.43,4387,3.16,18271.0,0.88,43.52
China,2020,Alzheimer's Disease,Autoimmune,3.0,9.9,9.0,36-60,Female,90409,72.87,,6.21,Medication,27485.0,No,81.56,1640,6.75,33131.0,0.76,55.48
UK,2022,Rabies,Chronic,0.39,4.17,3.75,19-35,Female,30776,75.53,1.07,8.66,Therapy,30255.0,Yes,63.69,141,1.29,95738.0,0.51,53.06
Nigeria,2022,Influenza,Metabolic,5.73,11.54,7.71,19-35,Male,682898,80.85,1.78,1.34,Medication,40345.0,No,88.06,823,5.28,27712.0,0.9,42.07
UK,2023,Cancer,Chronic,18.76,9.16,6.74,36-60,Male,777554,57.31,,6.92,Medication,33235.0,Yes,53.38,2568,0.57,31196.0,0.4,46.21
Nigeria,2024,Hypertension,Bacterial,1.41,9.71,3.74,61+,Male,296291,69.67,2.72,5.67,Surgery,21053.0,Yes,95.45,1826,2.01,36089.0,0.6,62.31
Nigeria,2024,Malaria,Genetic,9.79,6.45,2.92,19-35,Female,302090,64.22,4.68,8.91,Vaccination,34359.0,Yes,87.23,1994,6.74,47905.0,0.63,22.76
China,2023,Ebola,Respiratory,3.73,11.77,4.47,61+,Male,244530,95.04,4.94,8.97,Medication,17534.0,Yes,68.24,3710,0.92,638.0,0.44,86.9
China,2024,Asthma,Bacterial,15.53,12.47,5.41,36-60,Female,900356,53.97,4.27,2.4,Medication,40081.0,No,94.48,1617,4.69,32868.0,0.84,63.8
China,2023,HIV/AIDS,Cardiovascular,10.91,13.05,1.95,19-35,Other,835931,51.07,1.56,3.39,Medication,35178.0,Yes,78.96,4255,9.0,55583.0,0.77,70.37
South Africa,2020,COVID-19,Cardiovascular,14.44,3.3,6.5,61+,Female,238614,68.72,2.21,1.01,Therapy,27773.0,No,70.25,4496,4.53,65789.0,0.81,81.77
Argentina,2020,Tuberculosis,Genetic,2.44,8.95,8.24,0-18,Other,616135,83.29,0.64,5.94,Therapy,29457.0,No,87.96,4147,8.3,22095.0,0.89,54.27
South Africa,2021,Alzheimer's Disease,Respiratory,13.55,0.62,8.18,61+,Other,453760,50.42,2.37,8.75,Therapy,21347.0,No,57.35,1087,3.81,49639.0,0.53,39.07
Argentina,2020,Cancer,Cardiovascular,11.66,3.08,6.07,19-35,Male,972172,69.77,4.29,3.74,Medication,28802.0,Yes,94.67,4657,5.24,88412.0,0.49,69.52
South Africa,2024,Leprosy,Neurological,7.1,6.78,4.23,36-60,Male,847683,82.39,3.28,4.75,Therapy,5181.0,No,70.88,997,0.26,54475.0,0.43,49.37
China,2024,Cholera,Bacterial,0.5,4.36,0.13,36-60,Male,973953,53.84,2.25,6.43,Therapy,6774.0,Yes,51.46,2857,3.58,67635.0,0.43,62.64
Nigeria,2022,Cholera,Genetic,8.16,7.14,3.41,61+,Other,99047,90.53,4.15,5.76,Medication,1982.0,Yes,77.14,631,1.18,70059.0,0.6,34.54
India,2022,Alzheimer's Disease,Infectious,,6.88,5.86,61+,Other,345638,77.95,4.54,9.01,Vaccination,3231.0,No,90.2,662,7.85,69920.0,0.51,120.0
South Africa,2020,HIV/AIDS,Metabolic,18.3,14.64,5.63,36-60,Female,159133,51.23,3.44,,Therapy,16575.0,Yes,64.18,854,0.52,33952.0,0.72,62.5
Argentina,2023,Measles,Autoimmune,3.73,0.34,4.22,0-18,Male,973686,63.07,1.66,6.8,Therapy,,No,50.88,1302,4.77,76999.0,0.88,36.6
China,2023,Measles,Respiratory,9.14,13.78,5.7,61+,Female,576069,71.91,2.02,6.93,Vaccination,31939.0,No,55.46,3200,9.94,23597.0,0.71,66.61
UK,2021,Influenza,Chronic,8.41,11.69,7.55,36-60,Male,310204,90.81,2.01,8.38,Surgery,29849.0,No,56.02,3856,0.17,68227.0,0.63,26.37
UK,2020,Leprosy,Cardiovascular,5.23,2.58,4.1,19-35,Other,649198,94.2,3.65,1.33,Surgery,28358.0,Yes,83.57,2205,1.9,39707.0,0.57,
USA,2022,Asthma,Respiratory,17.06,5.47,2.86,19-35,Male,246599,91.65,1.92,8.23,Surgery,38877.0,Yes,84.09,949,8.77,7153.0,0.6,80.31
Russia,2022,Tuberculosis,Cardiovascular,5.81,7.7,6.87,19-35,Other,938777,82.12,1.1,6.56,Surgery,38387.0,No,90.58,628,9.28,47295.0,0.87,31.19
Argentina,2021,Influenza,Autoimmune,14.88,4.19,9.63,19-35,Other,131811,88.57,2.69,4.33,Vaccination,5809.0,Yes,64.16,3622,2.26,70655.0,0.53,67.61
UK,2023,Diabetes,Respiratory,9.32,8.92,5.45,19-35,Female,460559,50.39,3.76,7.89,Therapy,2747.0,No,84.34,4228,0.53,43541.0,0.43,51.85
USA,2023,Cancer,Respiratory,4.02,0.66,8.75,0-18,Male,604540,92.34,4.59,5.84,Vaccination,11397.0,Yes,88.59,437,1.05,28741.0,0.01,27.78
USA,2024,Measles,Parasitic,10.56,8.21,7.71,0-18,Other,789823,81.16,2.93,2.51,Therapy,32938.0,No,58.32,2607,7.07,46425.0,0.66,56.94
India,2023,Ebola,Neurological,1.35,8.94,6.79,61+,Male,206483,58.85,4.27,7.39,Surgery,46831.0,No,65.83,4797,5.26,63991.0,0.89,63.46
China,2021,Cholera,Bacterial,3.85,9.07,7.51,0-18,Male,122373,70.77,0.95,1.53,Therapy,2482.0,Yes,82.8,4834,3.9,70172.0,0.89,52.65
China,2020,Polio,Metabolic,16.14,7.23,9.78,36-60,Female,94935,59.12,1.53,4.64,Therapy,18751.0,Yes,82.86,1101,8.17,12304.0,0.61,57.66
USA,2021,Cholera,Autoimmune,10.31,5.1,7.74,61+,Male,753832,75.03,1.82,2.78,Vaccination,36449.0,No,79.02,3829,9.83,71732.0,0.71,52.05
Argentina,2023,Polio,Chronic,2.68,8.11,6.57,61+,Other,752948,58.25,1.34,9.26,Vaccination,24865.0,No,58.13,149,0.42,89167.0,0.41,56.43
South Africa,2023,Tuberculosis,Respiratory,9.9,8.4,7.03,61+,Other,149370,98.21,4.99,9.78,Vaccination,40062.0,No,67.34,4948,8.67,53467.0,0.85,43.89
Nigeria,2021,Asthma,Viral,3.1,6.75,6.91,0-18,Other,962532,74.08,0.93,4.55,Vaccination,16049.0,No,88.15,1595,5.3,49766.0,0.77,54.16
Nigeria,2021,Dengue,Metabolic,14.96,0.86,2.83,19-35,Male,815413,93.4,4.77,1.52,Therapy,34441.0,No,92.02,3271,9.29,509523.1992481203,0.72,78.98
Nigeria,2024,Hepatitis,Metabolic,3.1,13.71,4.47,61+,Male,479931,71.27,0.77,2.63,Surgery,35968.0,No,58.71,1839,5.1,43975.0,0.59,39.15
India,2024,Leprosy,Bacterial,2.23,2.51,,36-60,Female,161962,71.13,0.63,9.66,Medication,7499.0,Yes,79.69,4122,0.1,62484.0,0.66,71.21
Nigeria,2021,Hypertension,Bacterial,13.41,9.33,0.21,0-18,Other,667149,75.2,0.51,6.39,Therapy,2982.0,No,89.73,358,2.5,45373.0,0.75,57.28
Nigeria,2022,Leprosy,Chronic,5.14,9.78,7.94,61+,Female,36154,73.91,1.2,1.23,Therapy,40226.0,Yes,74.76,4783,3.45,43416.0,0.74,72.47
South Africa,2020,Hypertension,Chronic,2.51,6.15,8.44,0-18,Male,286884,60.05,4.35,5.48,Vaccination,29062.0,No,76.43,2603,8.05,57740.0,0.87,68.04
Nigeria,2020,Dengue,,3.25,8.63,6.85,0-18,Female,969294,99.66,1.52,5.67,Medication,49797.0,No,80.59,4724,1.29,86734.0,0.76,75.0
South Africa,2022,Zika,Autoimmune,19.26,12.24,5.38,36-60,Male,466531,81.83,4.3,3.08,Surgery,6546.0,Yes,64.94,405,5.02,3718.0,0.42,42.51
